KLloss,MSEloss
5.494621276855469,0.07141242176294327
1.452344536781311,0.07121928036212921
0.4404463469982147,0.0715947076678276
0.26815757155418396,0.06342613697052002
0.11661355197429657,0.05672154948115349
0.056606475263834,0.058872681111097336
0.06734779477119446,0.05739802122116089
0.09399177134037018,0.0569634735584259
0.1124892309308052,0.04907429218292236
0.18395096063613892,0.05423732474446297
0.18515442311763763,0.054355438798666
0.19288234412670135,0.04667520895600319
0.19300884008407593,0.04541769623756409
0.2380339801311493,0.04274110868573189
0.2123134583234787,0.04227181151509285
0.2592095732688904,0.038404520601034164
0.25205785036087036,0.03033529780805111
0.16475167870521545,0.03431575372815132
0.20456251502037048,0.028843631967902184
0.21792170405387878,0.02924705483019352
0.2680513262748718,0.02723979763686657
0.2507117986679077,0.03101317770779133
0.243928462266922,0.02781919576227665
0.259653240442276,0.028679603710770607
0.24343442916870117,0.03079945780336857
0.2794730067253113,0.02792770229279995
0.2688221037387848,0.0288091953843832
0.2598626911640167,0.024846168234944344
0.29534080624580383,0.02507690154016018
0.2815229296684265,0.02665339596569538
0.2884184718132019,0.025115394964814186
0.32913124561309814,0.02488960511982441
0.2883598506450653,0.027028053998947144
0.2751459777355194,0.022669510915875435
0.2832880914211273,0.024499645456671715
0.29823848605155945,0.025779379531741142
0.2932547926902771,0.020622774958610535
0.2786259353160858,0.025397388264536858
0.3181059658527374,0.022853964939713478
0.33020150661468506,0.02287476323544979
0.31412798166275024,0.02341066487133503
0.2664377689361572,0.02146015875041485
0.3330184817314148,0.021693745627999306
0.35031819343566895,0.020092369988560677
0.30766305327415466,0.021798640489578247
0.3661564886569977,0.021168328821659088
0.3460327982902527,0.022401729598641396
0.3830440044403076,0.02069428376853466
0.3332212567329407,0.020934144034981728
0.29965004324913025,0.02056473307311535
0.3288829028606415,0.01912565715610981
0.3336797058582306,0.019683970138430595
0.3328332006931305,0.019161725416779518
0.3890199661254883,0.01965414173901081
0.38175731897354126,0.02164394222199917
0.3574429750442505,0.018857160583138466
0.35380545258522034,0.021756397560238838
0.33225512504577637,0.019677843898534775
0.33859264850616455,0.01885065622627735
0.3772548735141754,0.021512413397431374
0.38609158992767334,0.020447468385100365
0.34832894802093506,0.017790133133530617
0.3423367738723755,0.019215160980820656
0.3568250834941864,0.022442640736699104
0.35401374101638794,0.019705578684806824
0.32946932315826416,0.018226688727736473
0.32270559668540955,0.016715100035071373
0.3431389629840851,0.01767772249877453
0.360782653093338,0.01904294453561306
